 time                   v(gate)                v(fault)               v(tripped)             v(xg.n_34)             v(xg.n_35)            
 7.580418029314138e-07  1.199999980791863e+00  1.199999980791786e+00  4.583660617389682e-08  3.896001917448805e-09  3.299999990371541e+00 
 7.581418029314138e-07  1.199999980791864e+00  1.199999980791787e+00  4.583660750326056e-08  3.896001903916515e-09  3.299999990371551e+00 
 7.582418029314139e-07  1.199999980791867e+00  1.199999980791816e+00  4.583660567653980e-08  3.896001988253386e-09  3.299999990371546e+00 
 7.583418029314139e-07  1.199999980791872e+00  1.199999980791827e+00  4.583660666174881e-08  3.896000083553220e-09  3.299999990371538e+00 
 7.584418029314139e-07  1.199999980791852e+00  1.199999980791835e+00  4.583660609290554e-08  3.896000771945844e-09  3.299999990371546e+00 
 7.585418029314139e-07  1.199999980791826e+00  1.199999980791848e+00  4.583660673465303e-08  3.896001431926961e-09  3.299999990371539e+00 
 7.586418029314139e-07  1.199999980791847e+00  1.199999980791806e+00  4.583660572792839e-08  3.896002849580719e-09  3.299999990371552e+00 
 7.587418029314139e-07  1.199999980791880e+00  1.199999980791802e+00  4.583660660948272e-08  3.895999705374267e-09  3.299999990371550e+00 
 7.588418029314139e-07  1.199999980791894e+00  1.199999980791838e+00  4.583660864326326e-08  3.896001274461809e-09  3.299999990371546e+00 
 7.589418029314139e-07  1.199999980791849e+00  1.199999980791826e+00  4.583660564683947e-08  3.895998841730294e-09  3.299999990371535e+00 
 7.590418029314139e-07  1.199999980791844e+00  1.199999980791811e+00  4.583660729817028e-08  3.896003221361382e-09  3.299999990371545e+00 
 7.591418029314139e-07  1.199999980791848e+00  1.199999980791813e+00  4.583660808938269e-08  3.896003972848153e-09  3.299999990371559e+00 
 7.592418029314139e-07  1.199999980791848e+00  1.199999980791817e+00  4.583660616593591e-08  3.896004280115475e-09  3.299999990371564e+00 
 7.593418029314139e-07  1.199999980791848e+00  1.199999980791794e+00  4.583660426222651e-08  3.896003213489496e-09  3.299999990371568e+00 
 7.594418029314139e-07  1.199999980791822e+00  1.199999980791825e+00  4.583660802038306e-08  3.895999878230646e-09  3.299999990371551e+00 
 7.595418029314140e-07  1.199999980791816e+00  1.199999980791810e+00  4.583660585693743e-08  3.895999178799853e-09  3.299999990371549e+00 
 7.596418029314140e-07  1.199999980791839e+00  1.199999980791785e+00  4.583660544007061e-08  3.896001082171729e-09  3.299999990371547e+00 
 7.597418029314140e-07  1.199999980791845e+00  1.199999980791785e+00  4.583660659412047e-08  3.895998966283131e-09  3.299999990371539e+00 
 7.598418029314140e-07  1.199999980791877e+00  1.199999980791815e+00  4.583660766482398e-08  3.896002498194415e-09  3.299999990371551e+00 
 7.599418029314140e-07  1.199999980791889e+00  1.199999980791824e+00  4.583660703113993e-08  3.896001181042350e-09  3.299999990371547e+00 
 7.600418029314140e-07  1.199999980791901e+00  1.199999980791833e+00  4.583660718593984e-08  3.896002414015567e-09  3.299999990371540e+00 
 7.601418029314140e-07  1.199999980791884e+00  1.199999980791843e+00  4.583660637198455e-08  3.896004171852354e-09  3.299999990371552e+00 
 7.602418029314140e-07  1.199999980791890e+00  1.199999980791856e+00  4.583660542313381e-08  3.895999464310892e-09  3.299999990371545e+00 
 7.603418029314140e-07  1.199999980791871e+00  1.199999980791816e+00  4.583660519381245e-08  3.895998453423876e-09  3.299999990371537e+00 
 7.604418029314140e-07  1.199999980791848e+00  1.199999980791815e+00  4.583660567797094e-08  3.896001499064298e-09  3.299999990371547e+00 
 7.605418029314140e-07  1.199999980791844e+00  1.199999980791822e+00  4.583660824739532e-08  3.896001151078801e-09  3.299999990371541e+00 
 7.606418029314140e-07  1.199999980791873e+00  1.199999980791830e+00  4.583660804085537e-08  3.896002610187309e-09  3.299999990371556e+00 
 7.607418029314140e-07  1.199999980791884e+00  1.199999980791837e+00  4.583660613251839e-08  3.896003766315986e-09  3.299999990371562e+00 
 7.608418029314141e-07  1.199999980791895e+00  1.199999980791824e+00  4.583660707619238e-08  3.896002126208693e-09  3.299999990371568e+00 
 7.609418029314141e-07  1.199999980791850e+00  1.199999980791805e+00  4.583660679173271e-08  3.896001190352722e-09  3.299999990371552e+00 
 7.610418029314141e-07  1.199999980791818e+00  1.199999980791803e+00  4.583660443593600e-08  3.896000780093749e-09  3.299999990371547e+00 
 7.611418029314141e-07  1.199999980791811e+00  1.199999980791838e+00  4.583660680093704e-08  3.896002296909364e-09  3.299999990371541e+00 
 7.612418029314141e-07  1.199999980791806e+00  1.199999980791853e+00  4.583660638246195e-08  3.896002514498208e-09  3.299999990371554e+00 
 7.613418029314141e-07  1.199999980791826e+00  1.199999980791839e+00  4.583660683833082e-08  3.896000370343171e-09  3.299999990371557e+00 
 7.614418029314141e-07  1.199999980791830e+00  1.199999980791823e+00  4.583660710932651e-08  3.896001241604947e-09  3.299999990371560e+00 
 7.615418029314141e-07  1.199999980791858e+00  1.199999980791800e+00  4.583660576273159e-08  3.896000575434058e-09  3.299999990371562e+00 
 7.616418029314141e-07  1.199999980791865e+00  1.199999980791830e+00  4.583660717393495e-08  3.896002014111809e-09  3.299999990371567e+00 
 7.617418029314141e-07  1.199999980791870e+00  1.199999980791844e+00  4.583660741474794e-08  3.896001844478757e-09  3.299999990371575e+00 
 7.618418029314141e-07  1.199999980791877e+00  1.199999980791834e+00  4.583660678825276e-08  3.896001841714714e-09  3.299999990371565e+00 
 7.619418029314141e-07  1.199999980791885e+00  1.199999980791842e+00  4.583660676430780e-08  3.896000062863533e-09  3.299999990371546e+00 
 7.620418029314141e-07  1.199999980791895e+00  1.199999980791828e+00  4.583660565004629e-08  3.895999967693836e-09  3.299999990371539e+00 
 7.621418029314142e-07  1.199999980791877e+00  1.199999980791805e+00  4.583660438532662e-08  3.896001857652705e-09  3.299999990371549e+00 
 7.622418029314142e-07  1.199999980791882e+00  1.199999980791809e+00  4.583660821814061e-08  3.896002303124621e-09  3.299999990371545e+00 
 7.623418029314142e-07  1.199999980791890e+00  1.199999980791811e+00  4.583660589846637e-08  3.896000681984049e-09  3.299999990371533e+00 
 7.624418029314142e-07  1.199999980791870e+00  1.199999980791816e+00  4.583660709003803e-08  3.896001183172575e-09  3.299999990371538e+00 
 7.625418029314142e-07  1.199999980791846e+00  1.199999980791824e+00  4.583660758975014e-08  3.896004341302120e-09  3.299999990371550e+00 
 7.626418029314142e-07  1.199999980791843e+00  1.199999980791831e+00  4.583660574742047e-08  3.896000682562435e-09  3.299999990371544e+00 
 7.627418029314142e-07  1.199999980791872e+00  1.199999980791816e+00  4.583660685595677e-08  3.895998900927948e-09  3.299999990371536e+00 
 7.628418029314142e-07  1.199999980791858e+00  1.199999980791816e+00  4.583660457502288e-08  3.896001871281940e-09  3.299999990371548e+00 
 7.629418029314142e-07  1.199999980791858e+00  1.199999980791824e+00  4.583660823520306e-08  3.896002269899426e-09  3.299999990371542e+00 
 7.630418029314142e-07  1.199999980791860e+00  1.199999980791834e+00  4.583660829780640e-08  3.896005452375762e-09  3.299999990371556e+00 
 7.631418029314142e-07  1.199999980791838e+00  1.199999980791843e+00  4.583660582197680e-08  3.896001781274633e-09  3.299999990371556e+00 
 7.632418029314142e-07  1.199999980791838e+00  1.199999980791833e+00  4.583660716978167e-08  3.895999824069956e-09  3.299999990371558e+00 
 7.633418029314142e-07  1.199999980791866e+00  1.199999980791814e+00  4.583660588295002e-08  3.896001486806804e-09  3.299999990371560e+00 
 7.634418029314142e-07  1.199999980791849e+00  1.199999980791818e+00  4.583660735728592e-08  3.896003227467045e-09  3.299999990371564e+00 
 7.635418029314143e-07  1.199999980791821e+00  1.199999980791824e+00  4.583660622294963e-08  3.896001634171636e-09  3.299999990371571e+00 
 7.636418029314143e-07  1.199999980791840e+00  1.199999980791830e+00  4.583660522195286e-08  3.896000165800063e-09  3.299999990371559e+00 
 7.637418029314143e-07  1.199999980791847e+00  1.199999980791841e+00  4.583660731230966e-08  3.896002828860615e-09  3.299999990371560e+00 
 7.638418029314143e-07  1.199999980791853e+00  1.199999980791853e+00  4.583660592812801e-08  3.896001547078418e-09  3.299999990371562e+00 
 7.639418029314143e-07  1.199999980791855e+00  1.199999980791839e+00  4.583660733439142e-08  3.896001270500632e-09  3.299999990371571e+00 
 7.640418029314143e-07  1.199999980791858e+00  1.199999980791824e+00  4.583660702413259e-08  3.896000637531745e-09  3.299999990371560e+00 
 7.641418029314143e-07  1.199999980791834e+00  1.199999980791828e+00  4.583660594729202e-08  3.896001955269070e-09  3.299999990371561e+00 
 7.642418029314143e-07  1.199999980791859e+00  1.199999980791835e+00  4.583660593497556e-08  3.896003452800334e-09  3.299999990371568e+00 
 7.643418029314143e-07  1.199999980791839e+00  1.199999980791819e+00  4.583660505509641e-08  3.895997855200178e-09  3.299999990371549e+00 
 7.644418029314143e-07  1.199999980791866e+00  1.199999980791825e+00  4.583660692725836e-08  3.896000643776753e-09  3.299999990371546e+00 
