 frequency                ir                       ii                       vr                       vi                      
 2.75422870333816272e+00  1.77218943729975931e-15  2.46203964784935957e-14  9.02386961716183933e-04  1.33440682960164621e-06 
 2.81838293126444972e+00  1.77101714370075936e-15  2.51938791560502745e-14  9.02386961781576069e-04  1.36548915758288789e-06 
 2.88403150312660150e+00  1.76854380749477680e-15  2.57807200064062966e-14  9.02386961849743763e-04  1.39729548598986005e-06 
 2.95120922666638119e+00  1.75594673350321084e-15  2.63812301421162106e-14  9.02386961921464170e-04  1.42984267895888987e-06 
 3.01995172040201165e+00  1.75747139280826858e-15  2.69957279152192861e-14  9.02386961995960135e-04  1.46314799344250245e-06 
 3.09029543251358563e+00  1.76206569951417591e-15  2.76245392084070894e-14  9.02386962074674948e-04  1.49722908835929962e-06 
 3.16227766016837419e+00  1.75823711059258647e-15  2.82679973953188141e-14  9.02386962157053496e-04  1.53210403395689400e-06 
 3.23593656929627738e+00  1.74688009283580081e-15  2.89264436317088566e-14  9.02386962242984758e-04  1.56779132139307264e-06 
 3.31131121482590540e+00  1.75669889876037266e-15  2.96002270539701633e-14  9.02386962332801801e-04  1.60430987254002846e-06 
 3.38844156139201980e+00  1.75057315648582956e-15  3.02897049379529081e-14  9.02386962427059736e-04  1.64167905001693782e-06 
 3.46736850452531042e+00  1.73835555325463353e-15  3.09952428048436109e-14  9.02386962525536518e-04  1.67991866745635621e-06 
 3.54813389233574838e+00  1.73855884116197457e-15  3.17172147520373824e-14  9.02386962629120326e-04  1.71904900000959630e-06 
 3.63078054770100689e+00  1.73336822326120021e-15  3.24560036119566020e-14  9.02386962737145026e-04  1.75909079509693740e-06 
 3.71535229097171849e+00  1.73407295467331579e-15  3.32120010446951462e-14  9.02386962850831864e-04  1.80006528340814715e-06 
 3.80189396320560480e+00  1.73107784617182459e-15  3.39856079482999724e-14  9.02386962969181639e-04  1.84199419015928391e-06 
 3.89045144994279868e+00  1.72843510337639117e-15  3.47772344587711193e-14  9.02386963093415595e-04  1.88489974661170737e-06 
 3.98107170553496470e+00  1.72600242475187682e-15  3.55873003206386206e-14  9.02386963223866800e-04  1.92880470185938869e-06 
 4.07380277804111923e+00  1.72746609768473225e-15  3.64162350325462935e-14  9.02386963360091165e-04  1.97373233489070854e-06 
 4.16869383470334576e+00  1.72323770921203878e-15  3.72644781251844242e-14  9.02386963502976869e-04  2.01970646693140872e-06 
 4.26579518801591817e+00  1.70980715480037460e-15  3.81324792936386659e-14  9.02386963652190843e-04  2.06675147407483303e-06 
 4.36515832240165125e+00  1.71355442855902762e-15  3.90206989003158514e-14  9.02386963808510245e-04  2.11489230020649000e-06 
 4.46683592150962205e+00  1.70692046651613194e-15  3.99296077102461968e-14  9.02386963972379164e-04  2.16415447022960371e-06 
 4.57088189614874096e+00  1.69749468387908609e-15  4.08596877910558082e-14  9.02386964143908621e-04  2.21456410359877803e-06 
 4.67735141287197198e+00  1.69524496437117866e-15  4.18114321953293264e-14  9.02386964323209639e-04  2.26614792816889668e-06 
 4.78630092322637335e+00  1.69607166852769886e-15  4.27853455958846374e-14  9.02386964511614487e-04  2.31893329436650714e-06 
 4.89778819368445184e+00  1.68386761782365890e-15  4.37819443387124315e-14  9.02386964708346007e-04  2.37294818969146812e-06 
 5.01187233627271223e+00  1.68324420157447974e-15  4.48017568400228974e-14  9.02386964914958511e-04  2.42822125355625947e-06 
 5.12861383991363784e+00  1.66518545913901805e-15  4.58453238774132976e-14  9.02386965130452801e-04  2.48478179247097481e-06 
 5.24807460249771474e+00  1.66685919624279255e-15  4.69131985898679690e-14  9.02386965356938298e-04  2.54265979558199017e-06 
 5.37031796370251602e+00  1.65794840963767731e-15  4.80059474042006081e-14  9.02386965593748869e-04  2.60188595057269813e-06 
 5.49540873857623335e+00  1.65037932322101288e-15  4.91241496115377981e-14  9.02386965841883715e-04  2.66249165993436442e-06 
 5.62341325190347785e+00  1.64838710172907077e-15  5.02683980555332783e-14  9.02386966101231813e-04  2.72450905761633977e-06 
 5.75439937337155616e+00  1.63562739741163199e-15  5.14392994764750788e-14  9.02386966373125432e-04  2.78797102606375571e-06 
 5.88843655355587625e+00  1.62896633031442417e-15  5.26374747230437572e-14  9.02386966657564571e-04  2.85291121365232945e-06 
 6.02559586074356357e+00  1.61233737949392775e-15  5.38635590170101952e-14  9.02386966955992520e-04  2.91936405252906143e-06 
 6.16595001861480707e+00  1.60439559858047143e-15  5.51182025355707492e-14  9.02386967267965190e-04  2.98736477686873319e-06 
 6.30957344480191740e+00  1.60478184560441939e-15  5.64020704113472508e-14  9.02386967594703826e-04  3.05694944155550157e-06 
 6.45654229034653948e+00  1.58553048077922365e-15  5.77158434735408350e-14  9.02386967936985585e-04  3.12815494129965134e-06 
 6.60693448007594419e+00  1.56931488203698732e-15  5.90602181949923818e-14  9.02386968295365577e-04  3.20101903019961828e-06 
 6.76082975391980145e+00  1.56282999779280840e-15  6.04359074598061240e-14  9.02386968671176071e-04  3.27558034175982643e-06 
 6.91830970918934796e+00  1.55127646839225974e-15  6.18436405633496477e-14  9.02386969063639910e-04  3.35187840937461130e-06 
 7.07945784384136179e+00  1.55028713390986672e-15  6.32841640592868391e-14  9.02386969475532652e-04  3.42995368728930115e-06 
 7.24435960074988294e+00  1.52502522329095447e-15  6.47582416536987663e-14  9.02386969906077141e-04  3.50984757204974077e-06 
 7.41310241300915695e+00  1.52158288139331299e-15  6.62666549462375082e-14  9.02386970357382801e-04  3.59160242445108947e-06 
 7.58577575029181883e+00  1.50907389882826148e-15  6.78102036154146117e-14  9.02386970829782697e-04  3.67526159199825829e-06 
 7.76247116628689771e+00  1.49972943135415204e-15  6.93897062921038186e-14  9.02386971324831144e-04  3.76086943188927409e-06 
 7.94328234724279447e+00  1.47778111362489861e-15  7.10060001624943711e-14  9.02386971842861207e-04  3.84847133453391543e-06 
 8.12830516164097183e+00  1.47211615727366185e-15  7.26599425298080092e-14  9.02386972385205155e-04  3.93811374762058847e-06 
 8.31763771102668947e+00  1.44829081453329289e-15  7.43524100202055819e-14  9.02386972953084232e-04  4.02984420074319367e-06 
 8.51138038202374325e+00  1.42919530377039194e-15  7.60843002768529417e-14  9.02386973547941729e-04  4.12371133060223219e-06 
 8.70963589956078366e+00  1.41754013041617277e-15  7.78565313775857941e-14  9.02386974170665823e-04  4.21976490679233176e-06 
 8.91250938133743098e+00  1.38710793068722027e-15  7.96700429995799992e-14  9.02386974822699806e-04  4.31805585819107705e-06 
 9.12010839355907166e+00  1.37176646994655038e-15  8.15257967899284868e-14  9.02386975506264122e-04  4.41863629996190331e-06 
