 time                   v(d)                   v(g)                  
 5.819536329916949e-06  8.475496650500600e-02  4.689332157677052e+00 
 5.820536329916949e-06  8.475150858085445e-02  4.690014412985684e+00 
 5.821536329916949e-06  8.474805213211636e-02  4.690696670566599e+00 
 5.822536329916948e-06  8.474459715794960e-02  4.691378930419166e+00 
 5.823536329916948e-06  8.474114365730229e-02  4.692061192542563e+00 
 5.824536329916948e-06  8.473769162942636e-02  4.692743456936250e+00 
 5.825536329916947e-06  8.473424107322036e-02  4.693425723599354e+00 
 5.826536329916947e-06  8.473079198782134e-02  4.694107992531229e+00 
 5.827536329916947e-06  8.472734437234090e-02  4.694790263731207e+00 
 5.828536329916946e-06  8.472389822575291e-02  4.695472537198476e+00 
 5.829536329916946e-06  8.472045354724120e-02  4.696154812932446e+00 
 5.830536329916946e-06  8.471701033574609e-02  4.696837090932263e+00 
 5.831536329916945e-06  8.471356859053812e-02  4.697519371197424e+00 
 5.832536329916945e-06  8.471012831051644e-02  4.698201653727043e+00 
 5.833536329916945e-06  8.470668949480106e-02  4.698883938520455e+00 
 5.834536329916944e-06  8.470325214249101e-02  4.699566225576977e+00 
 5.835536329916944e-06  8.469981625270198e-02  4.700248514895939e+00 
 5.836536329916944e-06  8.469638182440832e-02  4.700930806476532e+00 
 5.837536329916943e-06  8.469294885683397e-02  4.701613100318198e+00 
 5.838536329916943e-06  8.468951734890180e-02  4.702295396420070e+00 
 5.839536329916943e-06  8.468608729980016e-02  4.702977694781556e+00 
 5.840536329916942e-06  8.468265870858067e-02  4.703659995401915e+00 
 5.841536329916942e-06  8.467923157430986e-02  4.704342298280431e+00 
 5.842536329916941e-06  8.467580589608686e-02  4.705024603416415e+00 
 5.843536329916941e-06  8.467238167301064e-02  4.705706910809184e+00 
 5.844536329916941e-06  8.466895890408818e-02  4.706389220457951e+00 
 5.845536329916940e-06  8.466553758855874e-02  4.707071532362170e+00 
 5.846536329916940e-06  8.466211772537940e-02  4.707753846521012e+00 
 5.847536329916940e-06  8.465869931361079e-02  4.708436162933749e+00 
 5.848536329916939e-06  8.465528235250759e-02  4.709118481599843e+00 
 5.849536329916939e-06  8.465186684100623e-02  4.709800802518442e+00 
 5.850536329916939e-06  8.464845277820490e-02  4.710483125688856e+00 
 5.851536329916938e-06  8.464504016330185e-02  4.711165451110497e+00 
 5.852536329916938e-06  8.464162899526648e-02  4.711847778782537e+00 
 5.853536329916938e-06  8.463821927325643e-02  4.712530108704348e+00 
 5.854536329916937e-06  8.463481099637092e-02  4.713212440875238e+00 
 5.855536329916937e-06  8.463140416368378e-02  4.713894775294491e+00 
 5.856536329916937e-06  8.462799877426599e-02  4.714577111961382e+00 
 5.857536329916936e-06  8.462459482723275e-02  4.715259450875235e+00 
 5.858536329916936e-06  8.462119232169255e-02  4.715941792035367e+00 
 5.859536329916936e-06  8.461779125675693e-02  4.716624135441101e+00 
 5.860536329916935e-06  8.461439163148193e-02  4.717306481091695e+00 
 5.861536329916935e-06  8.461099344493045e-02  4.717988828986423e+00 
 5.862536329916935e-06  8.460759669629911e-02  4.718671179124682e+00 
 5.863536329916934e-06  8.460420138462837e-02  4.719353531505721e+00 
 5.864536329916934e-06  8.460080750904360e-02  4.720035886128868e+00 
 5.865536329916933e-06  8.459741506862899e-02  4.720718242993414e+00 
 5.866536329916933e-06  8.459402406241236e-02  4.721400602098600e+00 
 5.867536329916933e-06  8.459063448967896e-02  4.722082963443905e+00 
 5.868536329916932e-06  8.458724634940579e-02  4.722765327028517e+00 
 5.869536329916932e-06  8.458385964064152e-02  4.723447692851682e+00 
 5.870536329916932e-06  8.458047436263358e-02  4.724130060912856e+00 
 5.871536329916931e-06  8.457709051437919e-02  4.724812431211236e+00 
 5.872536329916931e-06  8.457370809504504e-02  4.725494803746195e+00 
 5.873536329916931e-06  8.457032710370556e-02  4.726177178517005e+00 
 5.874536329916930e-06  8.456694753948531e-02  4.726859555523000e+00 
 5.875536329916930e-06  8.456356940148238e-02  4.727541934763472e+00 
 5.876536329916930e-06  8.456019268881122e-02  4.728224316237737e+00 
 5.877536329916929e-06  8.455681740055775e-02  4.728906699945092e+00 
 5.878536329916929e-06  8.455344353590802e-02  4.729589085884915e+00 
 5.879536329916929e-06  8.455007109383902e-02  4.730271474056382e+00 
 5.880536329916928e-06  8.454670007361997e-02  4.730953864458965e+00 
 5.881536329916928e-06  8.454333047424253e-02  4.731636257091857e+00 
 5.882536329916928e-06  8.453996229488375e-02  4.732318651954434e+00 
 5.883536329916927e-06  8.453659553460442e-02  4.733001049045953e+00 
 5.884536329916927e-06  8.453323019261362e-02  4.733683448365828e+00 
 5.885536329916926e-06  8.452986626790771e-02  4.734365849913247e+00 
 5.886536329916926e-06  8.452650375967484e-02  4.735048253687596e+00 
 5.887536329916926e-06  8.452314266706526e-02  4.735730659688224e+00 
 5.888536329916925e-06  8.451978298909216e-02  4.736413067914347e+00 
 5.889536329916925e-06  8.451642472496493e-02  4.737095478365363e+00 
 5.890536329916925e-06  8.451306787375017e-02  4.737777891040541e+00 
 5.891536329916924e-06  8.450971243460807e-02  4.738460305939236e+00 
