Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
321	2.992500e-10	1.500000e+00	5.177971e-02	2.173202e-01	
322	3.000000e-10	1.500000e+00	5.147737e-02	2.162395e-01	
323	3.001000e-10	1.495000e+00	5.143693e-02	2.160873e-01	
324	3.003000e-10	1.485000e+00	5.135594e-02	2.157868e-01	
325	3.007000e-10	1.465000e+00	5.119359e-02	2.153770e-01	
326	3.015000e-10	1.425000e+00	5.086736e-02	2.162083e-01	
327	3.025000e-10	1.375000e+00	5.045676e-02	2.204425e-01	
328	3.035000e-10	1.325000e+00	5.004305e-02	2.270669e-01	
329	3.045000e-10	1.275000e+00	4.962624e-02	2.345836e-01	
330	3.055000e-10	1.225000e+00	4.920638e-02	2.416141e-01	
331	3.065000e-10	1.175000e+00	4.878348e-02	2.484682e-01	
332	3.075000e-10	1.125000e+00	4.835758e-02	2.768785e-01	
333	3.085000e-10	1.075000e+00	4.792869e-02	3.608909e-01	
334	3.092500e-10	1.037500e+00	4.760508e-02	4.530883e-01	
335	3.100000e-10	1.000000e+00	4.727982e-02	5.359320e-01	
336	3.101000e-10	1.000000e+00	4.723633e-02	5.447784e-01	
337	3.103000e-10	1.000000e+00	4.714925e-02	5.614353e-01	
338	3.107000e-10	1.000000e+00	4.697476e-02	5.884748e-01	
339	3.115000e-10	1.000000e+00	4.662439e-02	6.202522e-01	
340	3.123868e-10	1.000000e+00	4.623386e-02	6.360951e-01	
341	3.133868e-10	1.000000e+00	4.579078e-02	6.510070e-01	
342	3.143868e-10	1.000000e+00	4.534487e-02	6.644830e-01	
343	3.153868e-10	1.000000e+00	4.489617e-02	6.718879e-01	
344	3.163868e-10	1.000000e+00	4.444470e-02	6.742613e-01	

Index   time            v(clk_p)        vin_diff        vcml_diff       
--------------------------------------------------------------------------------
345	3.173868e-10	1.000000e+00	4.399048e-02	6.744167e-01	
346	3.183868e-10	1.000000e+00	4.353355e-02	6.735384e-01	
347	3.193868e-10	1.000000e+00	4.307394e-02	6.717199e-01	
348	3.203868e-10	1.000000e+00	4.261167e-02	6.694891e-01	
349	3.213868e-10	1.000000e+00	4.214677e-02	6.668503e-01	
350	3.223868e-10	1.000000e+00	4.167927e-02	6.640468e-01	
351	3.233868e-10	1.000000e+00	4.120920e-02	6.610687e-01	
