 frequency              rejection             
 1.995262314968910e+03  6.935537618352440e+01 
 2.089296130854072e+03  6.895554431044049e+01 
 2.187761623949587e+03  6.855569791952379e+01 
 2.290867652767809e+03  6.815583830228209e+01 
 2.398832919019528e+03  6.775596667013525e+01 
 2.511886431509620e+03  6.735608409795601e+01 
 2.630267991895424e+03  6.695619159087796e+01 
 2.754228703338210e+03  6.655629005270477e+01 
 2.884031503126652e+03  6.615638031523832e+01 
 3.019951720402065e+03  6.575646315198978e+01 
 3.162277660168430e+03  6.535653926121908e+01 
 3.311311214825965e+03  6.495660928811914e+01 
 3.467368504525373e+03  6.455667383317740e+01 
 3.630780547701073e+03  6.415673343873520e+01 
 3.801893963205674e+03  6.375678861027303e+01 
 3.981071705535038e+03  6.335683981742983e+01 
 4.168693834703423e+03  6.295688749813756e+01 
 4.365158322401732e+03  6.255693205340955e+01 
 4.570881896148827e+03  6.215697386160750e+01 
 4.786300923226464e+03  6.175701327280844e+01 
 5.011872336272808e+03  6.135705062993054e+01 
 5.248074602497815e+03  6.095708624625155e+01 
 5.495408738576340e+03  6.055712042258446e+01 
 5.754399373371668e+03  6.015715345445087e+01 
 6.025595860743681e+03  5.975718561690067e+01 
 6.309573444802042e+03  5.935721718355697e+01 
 6.606934480076075e+03  5.895724842342919e+01 
 6.918309709189486e+03  5.855727960172801e+01 
 7.244359600750028e+03  5.815731098304364e+01 
 7.585775750291972e+03  5.775734283423716e+01 
 7.943282347242956e+03  5.735737542444709e+01 
 8.317637711026859e+03  5.695740903144358e+01 
 8.709635899560963e+03  5.655744393951675e+01 
 9.120108393559261e+03  5.615748044600601e+01 
 9.549925860214533e+03  5.575751885979648e+01 
 1.000000000000018e+04  5.535755950788803e+01 
 1.047128548050919e+04  5.495760273468754e+01 
 1.096478196143205e+04  5.455764890716716e+01 
 1.148153621496904e+04  5.415769841741186e+01 
 1.202264434617435e+04  5.375775168551492e+01 
 1.258925411794191e+04  5.335780916350183e+01 
 1.318256738556432e+04  5.295787133921993e+01 
 1.380384264602911e+04  5.255793874065644e+01 
 1.445439770745955e+04  5.215801193945160e+01 
 1.513561248436237e+04  5.175809155685972e+01 
 1.584893192461143e+04  5.135817826905848e+01 
 1.659586907437592e+04  5.095827281115582e+01 
 1.737800828749409e+04  5.055837598613376e+01 
 1.819700858610018e+04  5.015848866915669e+01 
 1.905460717963284e+04  4.975861181636171e+01 
 1.995262314968918e+04  4.935874647255078e+01 
 2.089296130854079e+04  4.895889378046868e+01 
 2.187761623949595e+04  4.855905498942859e+01 
 2.290867652767817e+04  4.815923146744201e+01 
 2.398832919019537e+04  4.775942471153434e+01 
 2.511886431509629e+04  4.735963636100931e+01 
 2.630267991895433e+04  4.695986821047003e+01 
 2.754228703338221e+04  4.656012222658387e+01 
 2.884031503126663e+04  4.616040056357850e+01 
 3.019951720402076e+04  4.576070558125701e+01 
 3.162277660168443e+04  4.536103986579612e+01 
 3.311311214825977e+04  4.496140625135266e+01 
 3.467368504525386e+04  4.456180784300015e+01 
 3.630780547701087e+04  4.416224804462893e+01 
 3.801893963205689e+04  4.376273058594721e+01 
