 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)              v(xt.icmp_h)          
 3.805714959319291e-07  0.000000000000000e+00  1.020894699355870e+00  8.155646830286314e-01  9.810276899305849e-01  1.199799543159132e+00  1.200148199624355e+00  1.990038893456302e+00  9.692035928887759e-01 
 3.815714959319292e-07  0.000000000000000e+00  1.019983604631696e+00  8.146691643666445e-01  9.825122128154962e-01  1.200198934607891e+00  1.199847433365329e+00  1.990038048774641e+00  9.699601741068349e-01 
 3.825714959319292e-07  0.000000000000000e+00  1.019103500184709e+00  8.138618512340507e-01  9.840724546316512e-01  1.199801774031312e+00  1.200149753989742e+00  1.990036204878838e+00  9.709551213093884e-01 
 3.835714959319292e-07  0.000000000000000e+00  1.018253805951788e+00  8.131322629244058e-01  9.852962670375720e-01  1.200196711128377e+00  1.199846469702500e+00  1.990033441617520e+00  9.716538810037061e-01 
 3.845714959319292e-07  0.000000000000000e+00  1.017433311635737e+00  8.124681854605268e-01  9.866024050962146e-01  1.199803989131900e+00  1.200150448051876e+00  1.990029958943225e+00  9.725876902095405e-01 
 3.855714959319293e-07  0.000000000000000e+00  1.016641386225831e+00  8.118619898257851e-01  9.875939344257921e-01  1.200194503557430e+00  1.199846290785541e+00  1.990025986933450e+00  9.732327360174728e-01 
 3.865714959319293e-07  0.000000000000000e+00  1.015876844953565e+00  8.113042563231150e-01  9.886784734292594e-01  1.199806188207093e+00  1.200150402640746e+00  1.990021727673714e+00  9.741092685874208e-01 
 3.875714959319293e-07  0.000000000000000e+00  1.015139056555748e+00  8.107899530740361e-01  9.894730672537912e-01  1.200192312138494e+00  1.199846783867616e+00  1.990017319335683e+00  9.747044292632451e-01 
 3.885714959319293e-07  0.000000000000000e+00  1.014426890836152e+00  8.103120710487905e-01  9.903728205649878e-01  1.199808371021934e+00  1.200149726191933e+00  1.990012829685626e+00  9.755273322399283e-01 
 3.895714959319293e-07  0.000000000000000e+00  1.013739732848020e+00  8.098676694385650e-01  9.910071329550527e-01  1.200190137098071e+00  1.199847848030601e+00  1.990008266153148e+00  9.760761786392693e-01 
 3.905714959319294e-07  0.000000000000000e+00  1.013076515094800e+00  8.094515609141069e-01  9.917575167688466e-01  1.199810537359577e+00  1.200148515318904e+00  1.990003598954586e+00  9.768488860994681e-01 
 3.915714959319294e-07  0.000000000000000e+00  1.012436643282188e+00  8.090622723578635e-01  9.922645349592233e-01  1.200187978643224e+00  1.199849393570777e+00  1.989998786981463e+00  9.773547361127028e-01 
 3.925714959319294e-07  0.000000000000000e+00  1.011819114789040e+00  8.086958279094958e-01  9.928957506522034e-01  1.199812687021417e+00  1.200146855562154e+00  1.989993802126306e+00  9.780804666964175e-01 
 3.935714959319294e-07  0.000000000000000e+00  1.011223357962680e+00  8.083516613414659e-01  9.933022961836223e-01  1.200185836965188e+00  1.199851341243274e+00  1.989988647127104e+00  9.785463948704684e-01 
 3.945714959319295e-07  0.000000000000000e+00  1.010648436943670e+00  8.080265219813328e-01  9.938380712281505e-01  1.199814819824099e+00  1.200144822236433e+00  1.989983365120259e+00  9.792281595501797e-01 
 3.955714959319295e-07  0.000000000000000e+00  1.010093805033678e+00  8.077203501752961e-01  9.941646058292604e-01  1.200183712238494e+00  1.199853621422843e+00  1.989978040878626e+00  9.796570175025545e-01 
 3.965714959319295e-07  0.000000000000000e+00  1.009558595210605e+00  8.074303079492902e-01  9.946227916038530e-01  1.199816935601573e+00  1.200142481320641e+00  1.989972794275179e+00  9.802976376415131e-01 
 3.975714959319295e-07  0.000000000000000e+00  1.009042287611509e+00  8.071566106239327e-01  9.948845527045287e-01  1.200181604622718e+00  1.199856173242567e+00  1.989967768891368e+00  9.806920803074535e-01 
 3.985714959319295e-07  0.000000000000000e+00  1.008544084947655e+00  8.068966708925217e-01  9.952785370958849e-01  1.199819034201361e+00  1.200139890344495e+00  1.989963117116052e+00  9.812942086053283e-01 
 3.995714959319296e-07  0.000000000000000e+00  1.008063494255124e+00  8.066508723472960e-01  9.954870371930818e-01  1.200179514260667e+00  1.199858943734120e+00  1.989958985423033e+00  9.816567181073015e-01 
 4.005714959319296e-07  0.000000000000000e+00  1.007599786616575e+00  8.064168127648932e-01  9.958271712765207e-01  1.199821115487511e+00  1.200137099255092e+00  1.989955500477972e+00  9.822228549719877e-01 
 4.015714959319296e-07  0.000000000000000e+00  1.007152493668512e+00  8.061950063963848e-01  9.959914655841210e-01  1.200177441283212e+00  1.199861887006404e+00  1.989952759086140e+00  9.825557566231411e-01 
 4.025714959319296e-07  0.000000000000000e+00  1.006720951266046e+00  8.059832154531317e-01  9.962861166029502e-01  1.199823179336852e+00  1.200134151234677e+00  1.989950821235163e+00  9.830882586557015e-01 
 4.035714959319297e-07  0.000000000000000e+00  1.006304711531157e+00  8.057820728789691e-01  9.964136370668885e-01  1.200175385806299e+00  1.199864963466423e+00  1.989949708122643e+00  9.833937284434145e-01 
 4.045714959319297e-07  0.000000000000000e+00  1.005903170189331e+00  8.055894960267986e-01  9.966698138589219e-01  1.199825225639915e+00  1.200131083466383e+00  1.989949403156757e+00  9.838948102950091e-01 
 4.055714959319297e-07  0.000000000000000e+00  1.005515895077548e+00  8.054062265876449e-01  9.967668220515843e-01  1.200173347932741e+00  1.199868139096005e+00  1.989949856986081e+00  9.841748769364412e-01 
 4.065714959319297e-07  0.000000000000000e+00  1.005142336808726e+00  8.052303244205992e-01  9.969904899543846e-01  1.199827254299374e+00  1.200127927837643e+00  1.989950993866017e+00  9.846466103978597e-01 
 4.075714959319297e-07  0.000000000000000e+00  1.004782074644345e+00  8.050626246077144e-01  9.970622957771408e-01  1.200171327753541e+00  1.199871384788256e+00  1.989952720144587e+00  9.849031563168601e-01 
 4.085714959319298e-07  0.000000000000000e+00  1.004434609960884e+00  8.049013114850763e-01  9.972585302929311e-01  1.199829265231283e+00  1.200124711583990e+00  1.989954932122093e+00  9.853474706065938e-01 
 4.095714959319298e-07  0.000000000000000e+00  1.004099530307082e+00  8.047472941933613e-01  9.973096102751814e-01  1.200169325346976e+00  1.199874675745775e+00  1.989957524262146e+00  9.855822352394145e-01 
 4.105714959319298e-07  0.000000000000000e+00  1.003776384945368e+00  8.045988614412791e-01  9.974826972396033e-01  1.199831258362458e+00  1.200121457866578e+00  1.989960395367464e+00  9.860009208745921e-01 
 4.115714959319298e-07  0.000000000000000e+00  1.003464767833755e+00  8.044569770448777e-01  9.975167907982074e-01  1.200167340780462e+00  1.199877990937321e+00  1.989963454098085e+00  9.862155077113788e-01 
 4.125714959319299e-07  0.000000000000000e+00  1.003164274360076e+00  8.043200155944299e-01  9.976703232653822e-01  1.199833233630609e+00  1.200118186294884e+00  1.989966621938333e+00  9.866102243035714e-01 
 4.135714959319299e-07  0.000000000000000e+00  1.002874503958790e+00  8.041889790895365e-01  9.976905334927393e-01  1.200165374110653e+00  1.199881312610760e+00  1.989969835346830e+00  9.868061111809878e-01 
 4.145714959319299e-07  0.000000000000000e+00  1.002595097071981e+00  8.040623130821880e-01  9.978275140269368e-01  1.199835190985033e+00  1.200114913388980e+00  1.989973045607976e+00  9.871783979703397e-01 
 4.155714959319299e-07  0.000000000000000e+00  1.002325658140650e+00  8.039410451182888e-01  9.978364100507274e-01  1.200163425382612e+00  1.199884625863645e+00  1.989976218289491e+00  9.873569490308589e-01 
 4.165714959319299e-07  0.000000000000000e+00  1.002065871805210e+00  8.038236805273691e-01  9.979593492752884e-01  1.199837130385302e+00  1.200111652991078e+00  1.989979331068563e+00  9.877082363517278e-01 
 4.175714959319300e-07  0.000000000000000e+00  1.001815347077779e+00  8.037112631792712e-01  9.979590591738586e-01  1.200161494633006e+00  1.199887918258029e+00  1.989982371788255e+00  9.878707139118297e-01 
 4.185714959319300e-07  0.000000000000000e+00  1.001573811809995e+00  8.036023498988156e-01  9.980700606742154e-01  1.199839051799165e+00  1.200108416628439e+00  1.989985335597272e+00  9.882023339871446e-01 
 4.192857479659650e-07  0.000000000000000e+00  1.001406578485625e+00  8.035275135668172e-01  9.980489386315571e-01  1.200159201412032e+00  1.199891820127535e+00  1.989987405395950e+00  9.882838159372049e-01 
 4.200000000000001e-07  0.000000000000000e+00  1.001243681967884e+00  8.034540152448089e-01  9.981375738404690e-01  1.199841711645002e+00  1.200103930270352e+00  1.989989437049172e+00  9.885339964378651e-01 
 4.200200000000001e-07  1.200000000001361e-01  1.001521365631184e+00  8.037308198953954e-01  9.981187650707064e-01  1.200002491083924e+00  1.200016976162188e+00  1.989989493490897e+00  9.885050397411104e-01 
 4.200600000000001e-07  3.600000000000906e-01  1.001950135406919e+00  8.041575458164065e-01  9.981159701110216e-01  1.199999167770493e+00  1.199985731147731e+00  1.989989607122096e+00  9.885071765794914e-01 
 4.200994844983491e-07  5.969069900944217e-01  1.000317822985350e+00  8.026143876358566e-01  9.981147233872465e-01  1.200002434541620e+00  1.200007008823618e+00  1.989989722287451e+00  9.885152977438908e-01 
 4.201405641468297e-07  8.433848809775740e-01  9.845090816443828e-01  7.910492165858959e-01  9.980780083513411e-01  1.199960551318477e+00  1.199989885227282e+00  1.989989841663522e+00  9.884818144282798e-01 
