attempted_temperatures,calibration_status,cold_residual_C,completed_temperatures,failed_temperatures,fingerprints_status,frequency25_Hz,hbt_vce_max_V,hot_residual_C,image_id,maximum_abs_residual_C,not_completed_temperatures,run_id,seed,slope_Hz_C
4,passed,-0.3273270987878618,4,0,passed,1432108.99351917,1.0550784598500025,-0.1112649381947648,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.3273270987878618,0,t2f_mc100_20260921_01_s51069,51069,4774.503694369908
4,passed,-1.3569951820574175,4,0,passed,1550778.447164832,1.077375715452283,-0.40065989507826316,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.3569951820574175,0,t2f_mc100_20260921_01_s51070,51070,5012.759431906734
4,passed,-0.45440278107747645,4,0,passed,1487505.465420471,1.0694123755949414,-0.17724817437432705,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.45440278107747645,0,t2f_mc100_20260921_01_s51071,51071,4989.389094802479
4,passed,-1.0917543019389768,4,0,passed,1553513.591399127,1.0844164253020336,-0.34830808550211145,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.0917543019389768,0,t2f_mc100_20260921_01_s51072,51072,5002.498612520962
4,passed,-0.5161515891707182,4,0,passed,1471296.837815271,1.0606593208673214,-0.15553942753538763,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.5161515891707182,0,t2f_mc100_20260921_01_s51073,51073,4975.570167045935
4,passed,-0.632243005364657,4,0,passed,1502857.119240817,1.0812035282130803,-0.19564413276711434,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.632243005364657,0,t2f_mc100_20260921_01_s51074,51074,5040.598293484573
4,passed,-1.3702674051804706,4,0,passed,1569397.224932974,1.0989809179712908,-0.4208504780680329,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.3702674051804706,0,t2f_mc100_20260921_01_s51075,51075,5102.600204394174
4,passed,-1.1033766313237265,4,0,passed,1525725.83545886,1.0878243387482631,-0.3629361098693664,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,1.1033766313237265,0,t2f_mc100_20260921_01_s51076,51076,5028.976893374653
4,passed,-0.5473028231929646,4,0,passed,1481376.139178251,1.0713493778474934,-0.16900092735794203,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.5473028231929646,0,t2f_mc100_20260921_01_s51077,51077,4946.716927801228
4,passed,-0.018077417591186418,4,0,passed,1457197.421379873,1.0607599186170007,-0.051465755854138706,sha256:ab853b72c0b95f467d562afc77b09cfb7093a87910e26bf671ad46566dadd82e,0.051465755854138706,0,t2f_mc100_20260921_01_s51078,51078,4971.4808056864795
