bit_index,time_ps,v_amp_diff_mV,bit_decision
742,148580.0,216.9113,1
743,148780.0,-40.5019,0
744,148980.0,79.5931,1
745,149180.0,-43.9324,0
746,149380.0,14.9890,1
747,149580.0,-42.8386,0
748,149780.0,-90.3729,0
749,149980.0,-77.5769,0
750,150180.0,-111.9582,0
751,150380.0,-49.5682,0
752,150580.0,19.2161,1
753,150780.0,48.6493,1
754,150980.0,139.4640,1
755,151180.0,-18.7427,0
756,151380.0,-23.2886,0
757,151580.0,-154.4370,0
758,151780.0,-19.2336,0
759,151980.0,152.3576,1
760,152180.0,-47.5098,0
761,152380.0,9.1915,1
762,152580.0,-4.0111,0
763,152780.0,-42.2968,0
764,152980.0,0.3184,1
765,153180.0,128.0745,1
766,153380.0,8.4432,1
767,153580.0,-47.3983,0
768,153780.0,40.4441,1
769,153980.0,79.6457,1
770,154180.0,-143.4751,0
771,154380.0,-32.8076,0
772,154580.0,10.5263,1
773,154780.0,-145.9212,0
774,154980.0,46.3477,1
775,155180.0,-1.5156,0
776,155380.0,-3.8364,0
777,155580.0,6.7698,1
778,155780.0,138.8768,1
779,155980.0,24.4762,1
780,156180.0,-23.8798,0
781,156380.0,71.4882,1
782,156580.0,-111.2319,0
783,156780.0,43.8910,1
784,156980.0,-21.9404,0
785,157180.0,220.3138,1
786,157380.0,80.2253,1
787,157580.0,43.9603,1
788,157780.0,38.3422,1
789,157980.0,85.4389,1
790,158180.0,134.4990,1
791,158380.0,-168.6732,0
792,158580.0,4.5931,1
793,158780.0,-9.7839,0
794,158980.0,-48.9416,0
795,159180.0,-10.7601,0
796,159380.0,-129.4079,0
797,159580.0,118.9957,1
798,159780.0,-77.1825,0
799,159980.0,200.6690,1
800,160180.0,-123.7164,0
801,160380.0,-70.7550,0
802,160580.0,2.7817,1
803,160780.0,155.1249,1
804,160980.0,59.4672,1
805,161180.0,-51.2680,0
806,161380.0,-93.3845,0
807,161580.0,115.3957,1
808,161780.0,-40.1848,0
809,161980.0,43.3335,1
810,162180.0,-38.0151,0
811,162380.0,150.8527,1
812,162580.0,122.4486,1
813,162780.0,-72.3734,0
814,162980.0,42.1853,1
815,163180.0,-101.0178,0
816,163380.0,-53.8165,0
817,163580.0,-194.9620,0
818,163780.0,-18.5999,0
819,163980.0,-75.2806,0
820,164180.0,46.8052,1
821,164380.0,-78.7139,0
822,164580.0,-33.1958,0
823,164780.0,26.9973,1
824,164980.0,185.7738,1
825,165180.0,-98.3808,0
826,165380.0,-42.9373,0
827,165580.0,-42.2815,0
828,165780.0,-73.5786,0
829,165980.0,-22.3411,0
830,166180.0,-41.6676,0
831,166380.0,60.2936,1
832,166580.0,221.9913,1
833,166780.0,-116.4567,0
834,166980.0,55.9576,1
835,167180.0,69.8211,1
836,167380.0,-119.1362,0
837,167580.0,-44.8671,0
838,167780.0,19.5209,1
839,167980.0,-8.8448,0
840,168180.0,21.0552,1
841,168380.0,-43.2734,0
842,168580.0,169.4701,1
843,168780.0,54.1318,1
844,168980.0,65.5711,1
845,169180.0,96.9778,1
846,169380.0,38.8593,1
847,169580.0,-3.1218,0
848,169780.0,-52.6164,0
849,169980.0,99.2166,1
850,170180.0,-25.9695,0
851,170380.0,-44.6545,0
852,170580.0,-171.6837,0
853,170780.0,31.8800,1
854,170980.0,-99.3026,0
855,171180.0,-55.9287,0
856,171380.0,-53.2954,0
857,171580.0,103.3110,1
858,171780.0,-63.9810,0
859,171980.0,-111.6654,0
860,172180.0,-143.6517,0
861,172380.0,40.7229,1
862,172580.0,110.5368,1
863,172780.0,0.3157,1
864,172980.0,-99.6691,0
