 frequency              onoise_spectrum        inoise_spectrum       
 1.000000000000000e+02  2.215603979106621e-05  1.108529441027857e-06 
 1.059253725177289e+02  2.151021415975069e-05  1.076216955030848e-06 
 1.122018454301964e+02  2.088336507261129e-05  1.044853919302677e-06 
 1.188502227437019e+02  2.027493165234781e-05  1.014412271563515e-06 
 1.258925411794168e+02  1.968436976636075e-05  9.848647873184028e-07 
 1.333521432163325e+02  1.911115152297930e-05  9.561850546506715e-07 
 1.412537544622755e+02  1.855476478292571e-05  9.283474497828288e-07 
 1.496235656094434e+02  1.801471268583974e-05  9.013271133819215e-07 
 1.584893192461114e+02  1.749051319091887e-05  8.750999275834987e-07 
 1.678804018122561e+02  1.698169863187449e-05  8.496424937163182e-07 
 1.778279410038924e+02  1.648781528507111e-05  8.249321107020323e-07 
 1.883649089489801e+02  1.600842295098203e-05  8.009467541134580e-07 
 1.995262314968880e+02  1.554309454842346e-05  7.776650558670149e-07 
 2.113489039836648e+02  1.509141572085710e-05  7.550662845327651e-07 
 2.238721138568341e+02  1.465298445491223e-05  7.331303262427651e-07 
 2.371373705661656e+02  1.422741071031024e-05  7.118376661776852e-07 
 2.511886431509581e+02  1.381431606112678e-05  6.911693706166313e-07 
 2.660725059798811e+02  1.341333334786491e-05  6.711070695303187e-07 
 2.818382931264455e+02  1.302410634011182e-05  6.516329397028003e-07 
 2.985382618917961e+02  1.264628940944017e-05  6.327296883650726e-07 
 3.162277660168381e+02  1.227954721218522e-05  6.143805373241091e-07 
 3.349654391578279e+02  1.192355438185946e-05  5.965692075737234e-07 
 3.548133892335757e+02  1.157799523089847e-05  5.792799043712200e-07 
 3.758374042884444e+02  1.124256346140408e-05  5.624973027657966e-07 
 3.981071705534974e+02  1.091696188466495e-05  5.462065335659035e-07 
 4.216965034285824e+02  1.060090214919544e-05  5.303931697303542e-07 
 4.466835921509633e+02  1.029410447695286e-05  5.150432131726972e-07 
 4.731512589614807e+02  9.996297407601566e-06  5.001430819631824e-07 
 5.011872336272725e+02  9.707217550388178e-06  4.856795979194935e-07 
 5.308844442309885e+02  9.426609343729773e-06  4.716399745712902e-07 
 5.623413251903493e+02  9.154224821827022e-06  4.580118054896775e-07 
 5.956621435290107e+02  8.889823388504889e-06  4.447830529687071e-07 
 6.309573444801935e+02  8.633171597864365e-06  4.319420370490666e-07 
 6.683439175686149e+02  8.384042941423439e-06  4.194774248734780e-07 
 7.079457843841382e+02  8.142217641896868e-06  4.073782203628555e-07 
 7.498942093324561e+02  7.907482453011900e-06  3.956337542050088e-07 
 7.943282347242817e+02  7.679630465475283e-06  3.842336741443008e-07 
 8.413951416451954e+02  7.458460918751806e-06  3.731679355654301e-07 
 8.912509381337459e+02  7.243779018515785e-06  3.624267923596840e-07 
 9.440608762859238e+02  7.035395759617220e-06  3.520007880675661e-07 
 1.000000000000000e+03  6.833127754379271e-06  3.418807472877503e-07 
 1.059253725177289e+03  6.636797066045020e-06  3.320577673445233e-07 
 1.122018454301964e+03  6.446231047261312e-06  3.225232102062797e-07 
 1.188502227437019e+03  6.261262183398968e-06  3.132686946467099e-07 
 1.258925411794168e+03  6.081727940597263e-06  3.042860886417810e-07 
 1.333521432163325e+03  5.907470618369789e-06  2.955675019948376e-07 
 1.412537544622755e+03  5.738337206597983e-06  2.871052791831406e-07 
