 frequency              onoise_spectrum        inoise_spectrum       
 6.237348354824351e+01  2.824602244936205e-05  1.413228526780417e-06 
 6.309573444802093e+01  2.807905847570504e-05  1.404874846155393e-06 
 6.382634861905650e+01  2.791308920195153e-05  1.396570933185571e-06 
 6.456542290346721e+01  2.774810866042404e-05  1.388316489290239e-06 
 6.531305526474891e+01  2.758411091958131e-05  1.380111217697704e-06 
 6.606934480076130e+01  2.742109008382641e-05  1.371954823434264e-06 
 6.683439175686318e+01  2.725904029327028e-05  1.363847013313213e-06 
 6.760829753919992e+01  2.709795572352835e-05  1.355787495923929e-06 
 6.839116472814470e+01  2.693783058548787e-05  1.347775981621008e-06 
 6.918309709189545e+01  2.677865912511076e-05  1.339812182513487e-06 
 6.998419960022918e+01  2.662043562320454e-05  1.331895812454115e-06 
 7.079457843841564e+01  2.646315439522476e-05  1.324026587028705e-06 
 7.161434102129208e+01  2.630680979104391e-05  1.316204223545543e-06 
 7.244359600750091e+01  2.615139619475446e-05  1.308428441024858e-06 
 7.328245331389235e+01  2.599690802445675e-05  1.300698960188379e-06 
