 time                   v(vdd)                 v(vdda)                i(vcored)              i(vcorea)              i(vpadd)               i(vpada)              
 4.828000000000003e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594510966749e-09  1.088322928374441e-09  4.953110109670762e-09  9.501174350682118e-09 
 4.928000000000003e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594833950576e-09  1.088323004163984e-09  4.953110230776145e-09  9.501176051249414e-09 
 5.028000000000004e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594897267983e-09  1.088322814717019e-09  4.953110167458738e-09  9.501176240696380e-09 
 5.128000000000004e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594601389210e-09  1.088322967341768e-09  4.953110019248301e-09  9.501176088071630e-09 
 5.228000000000004e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594460876608e-09  1.088322888491471e-09  4.953110159760903e-09  9.501174390565088e-09 
 5.328000000000004e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594784619377e-09  1.088322862631131e-09  4.953110280107344e-09  9.501176192782267e-09 
 5.428000000000005e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594816061240e-09  1.088322775322363e-09  4.953110248665481e-09  9.501176280091035e-09 
 5.528000000000005e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594864633497e-09  1.088322837065136e-09  4.953110200093223e-09  9.501174441991423e-09 
 5.628000000000005e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594520616148e-09  1.088322958564389e-09  4.953110100021363e-09  9.501176096849009e-09 
 5.728000000000005e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594751009110e-09  1.088322906219447e-09  4.953110313717611e-09  9.501176149193951e-09 
 5.828000000000006e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594795027718e-09  1.088322912017811e-09  4.953110269699003e-09  9.501176143395587e-09 
 5.928000000000006e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594803809755e-09  1.088322950921611e-09  4.953110260916965e-09  9.501176104491788e-09 
 6.028000000000006e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594849996768e-09  1.088322887334424e-09  4.953110214729953e-09  9.501176168078975e-09 
 6.128000000000006e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594492752152e-09  1.088322865402623e-09  4.953110127885359e-09  9.501176190010775e-09 
 6.228000000000005e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594782125712e-09  1.088322889339351e-09  4.953110282601009e-09  9.501176166074048e-09 
 6.328000000000005e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594845876800e-09  1.088322911749301e-09  4.953110218849921e-09  9.501176143664097e-09 
 6.428000000000004e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594921337271e-09  1.088322812381749e-09  4.953110143389450e-09  9.501174466674810e-09 
 6.528000000000004e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594519098265e-09  1.088322831394250e-09  4.953110101539246e-09  9.501176224019148e-09 
 6.628000000000003e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594776054180e-09  1.088322888677395e-09  4.953110288672541e-09  9.501176166736004e-09 
 6.728000000000003e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594779632047e-09  1.088322839869239e-09  4.953110285094674e-09  9.501174439187320e-09 
 6.828000000000003e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594807170782e-09  1.088322854670716e-09  4.953110257555939e-09  9.501176200742683e-09 
 6.928000000000002e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594890437509e-09  1.088322842538663e-09  4.953110174289212e-09  9.501176212874735e-09 
 7.028000000000002e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594532325531e-09  1.088322880583571e-09  4.953110088311979e-09  9.501176174829827e-09 
 7.128000000000001e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594790799329e-09  1.088322815466219e-09  4.953110273927391e-09  9.501174463590340e-09 
 7.228000000000001e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594875692359e-09  1.088322873869565e-09  4.953110189034361e-09  9.501176181543834e-09 
 7.328000000000001e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594518989845e-09  1.088322819298620e-09  4.953110101647666e-09  9.501176236114778e-09 
 7.428000000000000e-08  1.079999996069148e+00  2.999999994705252e+00  2.908594851839912e-09  1.088322789994668e-09  4.953110212886809e-09  9.501174489061891e-09 
 7.528000000000000e-08  1.079999996069148e+00  2.999999994705251e+00  2.908594861164050e-09  1.088322812218695e-09  4.953110203562670e-09  9.501176243194703e-09 
