 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 4.363291740722070e-07  1.618989755506860e-06  1.199997385044461e+00  7.490998356895486e-01  7.508998337061773e-01  1.200000000000000e+00 
 4.365291740722070e-07  1.606939886694335e-06  1.199997403427312e+00  7.490998370616045e-01  7.508998350818091e-01  1.200000000000000e+00 
 4.367291740722070e-07  1.595070741580022e-06  1.199997421534704e+00  7.490998381965704e-01  7.508998362197166e-01  1.200000000000000e+00 
 4.369291740722070e-07  1.583378434382252e-06  1.199997439372581e+00  7.490998391354120e-01  7.508998371609673e-01  1.200000000000000e+00 
 4.371291740722070e-07  1.571859106545637e-06  1.199997456946068e+00  7.490998399120182e-01  7.508998379395473e-01  1.200000000000000e+00 
 4.373291740722071e-07  1.560508979009686e-06  1.199997474261025e+00  7.490998405544173e-01  7.508998385835589e-01  1.200000000000000e+00 
 4.375291740722071e-07  1.549324350504346e-06  1.199997491323317e+00  7.490998410858042e-01  7.508998391162637e-01  1.200000000000000e+00 
 4.377291740722071e-07  1.538301612069526e-06  1.199997508137837e+00  7.490998415253589e-01  7.508998395568901e-01  1.200000000000000e+00 
 4.379291740722071e-07  1.527437301406509e-06  1.199997524710222e+00  7.490998418889543e-01  7.508998399213507e-01  1.200000000000000e+00 
 4.381291740722071e-07  1.516728023798201e-06  1.199997541045824e+00  7.490998421897069e-01  7.508998402228005e-01  1.200000000000000e+00 
 4.383291740722071e-07  1.506170478497419e-06  1.199997557149559e+00  7.490998424384823e-01  7.508998404721295e-01  1.200000000000000e+00 
 4.385291740722071e-07  1.495761477444278e-06  1.199997573026377e+00  7.490998426442559e-01  7.508998406783490e-01  1.200000000000000e+00 
 4.387291740722072e-07  1.485497906150006e-06  1.199997588681126e+00  7.490998428144653e-01  7.508998408489104e-01  1.200000000000000e+00 
 4.389291740722072e-07  1.475376725914138e-06  1.199997604117864e+00  7.490998429552485e-01  7.508998409899647e-01  1.200000000000000e+00 
 4.391291740722072e-07  1.465395030885795e-06  1.199997619341846e+00  7.490998430717002e-01  7.508998411066159e-01  1.200000000000000e+00 
 4.393291740722072e-07  1.455549927082508e-06  1.199997634357028e+00  7.490998431680185e-01  7.508998412030896e-01  1.200000000000000e+00 
 4.395291740722072e-07  1.445838651986192e-06  1.199997649167777e+00  7.490998432476770e-01  7.508998412828685e-01  1.200000000000000e+00 
