time="2026-09-23T10:18:17+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
time="2026-09-23T10:18:18+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
Resource enforcement: CPU affinity; memory reservation only (rootless cgroups v1).
time="2026-09-23T10:18:19+02:00" level=warning msg="Network file system detected as backing store.  Enforcing overlay option `force_mask=\"700\"`.  Add it to storage.conf to silence this warning"
EXACT_DEF_PINS_PASSED 46
# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 27.4 um, median 42.6 um, max 44.5 um
# stages with a copy pair closer than  5 um: 0
# stages with a copy pair closer than 10 um: 0
# stages with a copy pair closer than 20 um: 0
# stages with a copy pair closer than 40 um: 18
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
u_cnt_corr.4       42.6   (243.8,132.3)  (283.7,147.4)  (323.5,162.5)
u_cnt_corr.5       42.6   (228.0,124.7)  (267.8,139.9)  (308.2,155.0)
u_cnt_corr.6       39.6   (220.3,136.1)  (260.6,155.0)  (299.5,162.5)
u_cnt_corr.7       42.6   (192.0,139.9)  (231.8,155.0)  (271.7,170.1)
u_cnt_corr.8       42.6   (181.4,128.5)  (221.8,143.6)  (261.6,158.8)
u_cnt_corr.9       42.6   (167.5,121.0)  (207.4,136.1)  (247.7,155.0)
u_cnt_corr.10      42.6   (155.0,113.4)  (195.4,132.3)  (235.2,147.4)
u_cnt_corr.11      40.8   (140.6,121.0)  (178.6,136.1)  (220.3,151.2)
u_cnt_corr.12      41.9   (164.6,136.1)  (204.5,151.2)  (244.8,162.5)
u_cnt_corr.13      42.6   (134.4,147.4)  (174.2,162.5)  (214.6,177.7)
u_cnt_corr.14      42.6   (126.7,139.9)  (167.0,158.8)  (206.9,173.9)
u_cnt_corr.15      42.6   (143.5,132.3)  (183.4,147.4)  (224.6,166.3)
u_cnt_plain.0       42.6   (206.9,60.5)  (246.7,75.6)  (288.0,90.7)
u_cnt_plain.1       42.6   (209.3,71.8)  (249.1,90.7)  (289.0,105.8)
u_cnt_plain.2       42.6   (222.7,68.0)  (262.6,83.2)  (302.9,98.3)
u_cnt_plain.3       41.7   (226.1,86.9)  (266.4,102.1)  (305.3,117.2)
u_cnt_plain.4       43.1   (209.8,94.5)  (250.1,109.6)  (290.4,124.7)
u_cnt_plain.5       40.4   (208.3,132.3)  (248.2,147.4)  (285.6,162.5)
u_cnt_plain.6       43.1   (207.4,109.6)  (247.7,124.7)  (287.5,143.6)
u_cnt_plain.7       42.6   (193.0,98.3)  (232.8,113.4)  (273.1,128.5)
u_cnt_plain.8       42.6   (176.6,98.3)  (216.5,113.4)  (256.8,128.5)
u_cnt_plain.9       41.7   (162.2,98.3)  (203.5,113.4)  (242.4,128.5)
u_cnt_plain.10      41.4   (171.8,79.4)  (211.7,90.7)  (252.0,105.8)
u_cnt_plain.11      42.8   (179.0,56.7)  (220.8,79.4)  (262.1,90.7)
u_cnt_plain.12      43.1   (173.3,68.0)  (213.6,83.2)  (253.4,102.1)
u_cnt_plain.13      42.6   (192.5,75.6)  (232.3,90.7)  (272.2,109.6)
u_cnt_plain.14      43.1   (193.4,60.5)  (233.8,75.6)  (275.0,90.7)
u_cnt_plain.15      42.6   (190.6,113.4)  (230.9,132.3)  (270.7,147.4)
u_cnt_unc.0       41.9   (255.4,121.0)  (295.2,136.1)  (335.5,147.4)
u_cnt_unc.1       41.0   (256.8,113.4)  (297.1,121.0)  (337.0,136.1)
u_cnt_unc.2       41.4   (256.8,86.9)  (297.1,102.1)  (337.0,113.4)
