equation	nterms	b_hex	x_hex	fsum_ax_hex	naive_ax_hex	residual_hex	residual_dec	scale_hex	scale_dec	norm_residual	|fsum-decimal|
43	6	-0x1.18e4d186ad4a4p-15	0x1.b707d7cb1acc3p-3	-0x1.18e4d186ad46ap-15	-0x1.18e4d186ad46ap-15	0x1.d000000000000p-62	3.93023287525995357e-19	0x1.90544c4254b26p-6	2.44341606824704169e-02	1.608499e-17	7.860466e-19
44	4	-0x1.bd9a2658986d0p-34	-0x1.a8d769e133866p-8	-0x1.bd9a2653d4d2bp-34	-0x1.bd9a2653d4d2bp-34	0x1.30e6940000000p-64	6.45652337460056544e-20	0x1.6c3066a917075p-7	1.11141682884225799e-02	5.809273e-18	5.781522e-19
45	12	0x1.5436ba7aac622p-7	-0x1.0a547632c64e6p+5	0x1.5436ba7aac625p-7	0x1.5436ba7aac625p-7	0x1.8000000000000p-58	5.20417042793042128e-18	0x1.3aa0ddc2860dcp-5	3.84067851302362928e-02	1.355013e-16	3.469447e-18
46	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
47	6	-0x1.7b408d2c72eddp-21	-0x1.a0d18dda8f5fep-13	-0x1.7b408d2c72ef0p-21	-0x1.7b408d2c72ef0p-21	-0x1.3000000000000p-69	-2.01170324972896331e-21	0x1.e80a69f83191bp-15	5.81789826710635031e-05	3.457783e-17	2.329341e-21
48	4	-0x1.4cd3b7b6d5768p-20	-0x1.63cbf8b86cd77p-5	-0x1.4cd3b7b6d7751p-20	-0x1.4cd3b7b6d7751p-20	-0x1.fe90000000000p-60	-1.72985303653009487e-18	0x1.615946964a1dep-4	8.62667805964813794e-02	2.005237e-17	1.591998e-18
49	13	0x1.787d5121f05b7p-15	0x1.3884aa57324e9p-4	0x1.787d5121f0594p-15	0x1.787d5121f0594p-15	-0x1.1800000000000p-62	-2.37169225231204095e-19	0x1.d2724714cf3f0p-7	1.42348143650625480e-02	1.666121e-17	6.776264e-21
50	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
51	3	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
52	6	-0x1.25bd8453cc71ap-14	-0x1.41d6fcd8e25e4p-11	-0x1.25bd8453cc72cp-14	-0x1.25bd8453cc72cp-14	-0x1.2000000000000p-62	-2.43945488809238498e-19	0x1.ec58bbced9621p-9	3.75630657747440299e-03	6.494291e-17	0.000000e+00
53	4	-0x1.7cb6c7d11379cp-32	-0x1.a8d3d36df1196p-8	-0x1.7cb6c7c4cf840p-32	-0x1.7cb6c7c4cf840p-32	0x1.887eb80000000p-61	6.64912384993347098e-19	0x1.7378b0244a292p-7	1.13364086215182215e-02	5.865282e-17	6.307407e-19
54	13	0x1.42dcfbb15a12cp-5	-0x1.6e4198e5cc60fp+9	0x1.42dcfbb15a167p-5	0x1.42dcfbb15a167p-5	0x1.d800000000000p-52	4.09394740330526474e-16	0x1.119ca7c284a9fp+2	4.27518648143691760e+00	9.576067e-17	1.804112e-16
55	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
56	20	0x1.34c39fda232e4p-13	0x1.389487752eff5p+1	0x1.34c39fda22fabp-13	0x1.34c39fda22fabp-13	-0x1.9c80000000000p-56	-2.23616698075135290e-17	0x1.30055e4d3ef3fp-2	2.96895478691784065e-01	7.531832e-17	6.776264e-19
57	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
58	18	0x1.34c39fda23670p-13	0x1.389487752f2e0p+1	0x1.34c39fda23297p-13	0x1.34c39fda23297p-13	-0x1.ec80000000000p-56	-2.66984784974555467e-17	0x1.30055e4d3f197p-2	2.96895478691817372e-01	8.992551e-17	5.719166e-18
59	8	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0x0.0p+0	0.00000000000000000e+00	0x0.0p+0	0.00000000000000000e+00	0.000000e+00	0.000000e+00
60	23	0x1.4e46052494156p-10	-0x1.438af4042f89dp-1	0x1.4e46052494173p-10	0x1.4e46052494173p-10	0x1.d000000000000p-58	6.28837260041592572e-18	0x1.2042f48466838p-3	1.40752706804791350e-01	4.467674e-17	6.938894e-18
61	4	0x1.6696f2399094ap-30	-0x1.c9a9eee536aa4p-8	0x1.6696f238e7310p-30	0x1.6696f238e7310p-30	-0x1.52c7400000000p-63	-1.43478199560079139e-19	0x1.aa83c12b8f518p-8	6.50809732502224264e-03	2.204611e-17	2.781769e-19
62	13	0x1.9ba2a995c8d4dp-9	0x1.165033f6a2f3dp+5	0x1.9ba2a995c8d43p-9	0x1.9ba2a995c8d43p-9	-0x1.4000000000000p-58	-4.33680868994201774e-18	0x1.00c66393439c9p-4	6.26891984613627967e-02	6.917952e-17	2.168404e-18
63	4	0x1.6696f2399094bp-30	-0x1.c9a9eee536ab4p-8	0x1.6696f23ae7267p-30	0x1.6696f23ae7267p-30	0x1.5691c00000000p-62	2.90167514258089131e-19	0x1.aa83c12b8f529p-8	6.50809732502225739e-03	4.458561e-17	1.898983e-19
64	13	0x1.9ba2a995c8857p-9	0x1.165033f6a2c46p+5	0x1.9ba2a995c8856p-9	0x1.9ba2a995c8856p-9	-0x1.0000000000000p-61	-4.33680868994201774e-19	0x1.00c6639343a78p-4	6.26891984613652253e-02	6.917952e-18	4.336809e-19
65	22	-0x1.c45b0781c4ca3p-12	-0x1.3e7906d317d4dp-2	-0x1.c45b0781c4c5ap-12	-0x1.c45b0781c4c5ap-12	0x1.2400000000000p-58	3.95733792957209118e-18	0x1.e1fb923e91510p-5	5.88357788406402848e-02	6.726074e-17	3.794708e-19
66	4	0x1.f87d9e7e033a2p-36	-0x1.a8d7666383c71p-8	0x1.f87d9ec292e00p-36	0x1.f87d9ec292e00p-36	0x1.123e978000000p-62	2.32294126431197722e-19	0x1.ab57f0f10a597p-7	1.30414892647248547e-02	1.781193e-17	4.684028e-19
67	13	0x1.4df763196892fp-2	0x1.0b50aa37ebb84p+8	0x1.4df763196892fp-2	0x1.4df763196892fp-2	0x0.0p+0	0.00000000000000000e+00	0x1.5944205a5e13dp-1	6.74347888022601816e-01	0.000000e+00	0.000000e+00
68	4	0x1.f87d9e7e036afp-36	-0x1.a8d7666383c73p-8	0x1.f87d9fc271400p-36	0x1.f87d9fc271400p-36	0x1.446dd51000000p-60	1.09920831770294460e-18	0x1.ab57f0f10a59dp-7	1.30414892647248652e-02	8.428549e-17	4.032915e-19
69	13	0x1.4df76319697afp-2	0x1.0b50aa37ebc3ap+8	0x1.4df76319697afp-2	0x1.4df76319697afp-2	0x0.0p+0	0.00000000000000000e+00	0x1.5944205a5ea4ep-1	6.74347888022859498e-01	0.000000e+00	0.000000e+00
70	16	-0x1.2c84bf7044a0fp-7	0x1.fe78618463238p+7	-0x1.2c84bf7045bb8p-7	-0x1.2c84bf7045bb8p-7	-0x1.1a90000000000p-47	-7.84268483489114487e-15	0x1.91401229ce2cfp+6	1.00312569287499386e+02	7.818247e-17	1.233388e-15
71	4	0x1.6346120fd5cb9p-27	0x1.cba6bdd6e33f6p-10	0x1.6346120fc78a4p-27	0x1.6346120fc78a4p-27	-0x1.c82a000000000p-64	-9.65964975727174658e-20	0x1.b3acc35f5a531p-10	1.66196768244681833e-03	5.812177e-17	5.880427e-20
