 time                   v(q)                   v(qb)                  v(inp)                 v(inn)                 v(clk)                
 2.490405000000000e-05  1.199999945666325e+00  1.042653488491807e-07  5.024546037739126e-01  4.975555265261924e-01  0.000000000000000e+00 
 2.490505000000000e-05  1.199999900410771e+00 -4.873321452905556e-08  5.024547579835409e-01  4.975550744325479e-01  0.000000000000000e+00 
 2.490605000000000e-05  1.199999946520878e+00  1.036677199032207e-07  5.024547224936274e-01  4.975548302076505e-01  0.000000000000000e+00 
 2.490705000000000e-05  1.199999899552092e+00 -4.813453632447454e-08  5.024546257679453e-01  4.975546616637431e-01  0.000000000000000e+00 
 2.490805000000000e-05  1.199999947381151e+00  1.030683857206411e-07  5.024545131980287e-01  4.975545243904338e-01  0.000000000000000e+00 
 2.490904999999999e-05  1.199999898692582e+00 -4.753488183180306e-08  5.024543984840143e-01  4.975544012197948e-01  0.000000000000000e+00 
 2.491004999999999e-05  1.199999948238242e+00  1.024687054000424e-07  5.024542876555264e-01  4.975542875006576e-01  0.000000000000000e+00 
 2.491104999999999e-05  1.199999897839455e+00 -4.693542892801619e-08  5.024541808517841e-01  4.975541797467106e-01  0.000000000000000e+00 
 2.491204999999999e-05  1.199999949085645e+00  1.018696999115096e-07  5.024540795557622e-01  4.975540781411060e-01  0.000000000000000e+00 
 2.491304999999999e-05  1.199999896999645e+00 -4.633705055905850e-08  5.024539823325831e-01  4.975539808528265e-01  0.000000000000000e+00 
 2.491404999999999e-05  1.199999949916709e+00  1.012720996175170e-07  5.024538902205747e-01  4.975538887330480e-01  0.000000000000000e+00 
 2.491504999999999e-05  1.199999896177829e+00 -4.574035529833708e-08  5.024538016244338e-01  4.975538001726151e-01  0.000000000000000e+00 
 2.491604999999999e-05  1.199999950728369e+00  1.006764221194147e-07  5.024537176040988e-01  4.975537161766879e-01  0.000000000000000e+00 
 2.491704999999999e-05  1.199999895377624e+00 -4.514578207894014e-08  5.024536365663814e-01  4.975536351830830e-01  0.000000000000000e+00 
 2.491804999999998e-05  1.199999951516447e+00  1.000830229596525e-07  5.024535596320325e-01  4.975535582739096e-01  0.000000000000000e+00 
 2.491904999999998e-05  1.199999894601721e+00 -4.455361276227993e-08  5.024534852263535e-01  4.975534839102673e-01  0.000000000000000e+00 
 2.492000000000000e-05  1.199999952299188e+00  9.947661816110180e-08  5.024534180293564e-01  4.975534167343737e-01  0.000000000000000e+00 
 2.492002000000000e-05  1.200011540717567e+00  4.575472877303656e-06  5.027390261105187e-01  4.978389482960243e-01  1.200000000083947e-01 
 2.492006000000000e-05  1.199991282287930e+00 -6.691493323770364e-06  5.032531953543625e-01  4.983529685273118e-01  3.600000000048552e-01 
